column,code,original_value
code_module,0,AAA
code_module,1,BBB
code_module,2,CCC
code_module,3,DDD
code_module,4,EEE
code_module,5,FFF
code_module,6,GGG
code_presentation,0,2013B
code_presentation,1,2013J
code_presentation,2,2014B
code_presentation,3,2014J
assessment_type,0,CMA
assessment_type,1,Exam
assessment_type,2,TMA
weight_category,0,Bajo
weight_category,1,Medio
weight_category,2,Alto
weight_category,3,Crítico
date_category,0,Temprano
date_category,1,Medio
date_category,2,Tardío
date_category,3,Final
FullDomain,0,CMA_Bajo_Temprano
FullDomain,1,Exam_Bajo_Temprano
FullDomain,2,TMA_Bajo_Temprano
