column,code,original_value
code_module,0,AAA
code_module,1,BBB
code_module,2,CCC
code_module,3,DDD
code_module,4,EEE
code_module,5,FFF
code_module,6,GGG
code_presentation,0,2013B
code_presentation,1,2013J
code_presentation,2,2014B
code_presentation,3,2014J
gender,0,F
gender,1,M
region,0,East Anglian Region
region,1,East Midlands Region
region,2,Ireland
region,3,London Region
region,4,North Region
region,5,North Western Region
region,6,Scotland
region,7,South East Region
region,8,South Region
region,9,South West Region
region,10,Wales
region,11,West Midlands Region
region,12,Yorkshire Region
highest_education,0,A Level or Equivalent
highest_education,1,HE Qualification
highest_education,2,Lower Than A Level
highest_education,3,No Formal quals
highest_education,4,Post Graduate Qualification
imd_band,0,0-10%
imd_band,1,10-20
imd_band,2,20-30%
imd_band,3,30-40%
imd_band,4,40-50%
imd_band,5,50-60%
imd_band,6,60-70%
imd_band,7,70-80%
imd_band,8,80-90%
imd_band,9,90-100%
imd_band,10,Unknown
age_band,0,0-35
age_band,1,35-55
age_band,2,55<=
disability,0,N
disability,1,Y
final_result,0,Distinction
final_result,1,Fail
final_result,2,Pass
final_result,3,Withdrawn
